day,month,date_str,month_name,anniversary_score,years_in_block,avg_block_length,coverage_percent,efficiency_ratio,score_details
1,1,01/01,January,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
23,4,23/04,April,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
1,5,01/05,May,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
19,5,19/05,May,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
15,7,15/07,July,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
30,8,30/08,August,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
29,10,29/10,October,200,50,20.82,100.0,100.0,"{'in_block': 50, 'one_day_away': 0, 'two_days_away': 0, 'other': 0}"
14,7,14/07,July,82,17,20.058823529411764,34.0,41.0,"{'in_block': 17, 'one_day_away': 7, 'two_days_away': 0, 'other': 26}"
30,4,30/04,April,76,16,20.6875,32.0,38.0,"{'in_block': 16, 'one_day_away': 6, 'two_days_away': 0, 'other': 28}"
2,1,02/01,January,74,15,21.666666666666668,30.0,37.0,"{'in_block': 15, 'one_day_away': 7, 'two_days_away': 0, 'other': 28}"
2,5,02/05,May,74,15,21.666666666666668,30.0,37.0,"{'in_block': 15, 'one_day_away': 7, 'two_days_away': 0, 'other': 28}"
31,8,31/08,August,74,15,21.733333333333334,30.0,37.0,"{'in_block': 15, 'one_day_away': 7, 'two_days_away': 0, 'other': 28}"
20,5,20/05,May,72,15,20.333333333333332,30.0,36.0,"{'in_block': 15, 'one_day_away': 6, 'two_days_away': 0, 'other': 29}"
16,7,16/07,July,72,14,19.214285714285715,28.000000000000004,36.0,"{'in_block': 14, 'one_day_away': 8, 'two_days_away': 0, 'other': 28}"
29,8,29/08,August,72,14,22.857142857142858,28.000000000000004,36.0,"{'in_block': 14, 'one_day_away': 8, 'two_days_away': 0, 'other': 28}"
24,4,24/04,April,70,14,21.785714285714285,28.000000000000004,35.0,"{'in_block': 14, 'one_day_away': 7, 'two_days_away': 0, 'other': 29}"
30,10,30/10,October,70,14,21.785714285714285,28.000000000000004,35.0,"{'in_block': 14, 'one_day_away': 7, 'two_days_away': 0, 'other': 29}"
18,5,18/05,May,68,13,24.307692307692307,26.0,34.0,"{'in_block': 13, 'one_day_away': 8, 'two_days_away': 0, 'other': 29}"
22,4,22/04,April,66,13,21.53846153846154,26.0,33.0,"{'in_block': 13, 'one_day_away': 7, 'two_days_away': 0, 'other': 30}"
28,10,28/10,October,66,13,21.53846153846154,26.0,33.0,"{'in_block': 13, 'one_day_away': 7, 'two_days_away': 0, 'other': 30}"
1,9,01/09,September,64,9,20.88888888888889,18.0,32.0,"{'in_block': 9, 'one_day_away': 7, 'two_days_away': 14, 'other': 20}"
17,7,17/07,July,61,8,18.5,16.0,30.5,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 15, 'other': 20}"
31,10,31/10,October,61,8,25.0,16.0,30.5,"{'in_block': 8, 'one_day_away': 8, 'two_days_away': 13, 'other': 21}"
3,1,03/01,January,60,8,22.625,16.0,30.0,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 14, 'other': 21}"
29,4,29/04,April,60,8,20.5,16.0,30.0,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 14, 'other': 21}"
3,5,03/05,May,59,8,18.375,16.0,29.5,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 15, 'other': 21}"
21,5,21/05,May,59,8,20.375,16.0,29.5,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 13, 'other': 22}"
25,4,25/04,April,57,7,25.428571428571427,14.000000000000002,28.499999999999996,"{'in_block': 7, 'one_day_away': 8, 'two_days_away': 13, 'other': 22}"
28,4,28/04,April,57,9,21.0,18.0,28.499999999999996,"{'in_block': 9, 'one_day_away': 7, 'two_days_away': 7, 'other': 27}"
1,11,01/11,November,54,8,18.375,16.0,27.0,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 8, 'other': 27}"
3,11,03/11,November,54,10,21.6,20.0,27.0,"{'in_block': 10, 'one_day_away': 7, 'two_days_away': 0, 'other': 33}"
5,5,05/05,May,53,8,20.875,16.0,26.5,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 7, 'other': 28}"
26,4,26/04,April,52,8,18.375,16.0,26.0,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 8, 'other': 28}"
18,7,18/07,July,52,8,24.875,16.0,26.0,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 6, 'other': 29}"
19,7,19/07,July,52,8,18.375,16.0,26.0,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 8, 'other': 28}"
2,9,02/09,September,52,8,20.375,16.0,26.0,"{'in_block': 8, 'one_day_away': 7, 'two_days_away': 6, 'other': 29}"
2,11,02/11,November,52,7,23.714285714285715,14.000000000000002,26.0,"{'in_block': 7, 'one_day_away': 8, 'two_days_away': 8, 'other': 27}"
23,5,23/05,May,50,7,25.428571428571427,14.000000000000002,25.0,"{'in_block': 7, 'one_day_away': 8, 'two_days_away': 6, 'other': 29}"
3,9,03/09,September,50,8,20.375,16.0,25.0,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 6, 'other': 30}"
4,1,04/01,January,49,7,19.714285714285715,14.000000000000002,24.5,"{'in_block': 7, 'one_day_away': 7, 'two_days_away': 7, 'other': 29}"
5,1,05/01,January,49,7,21.142857142857142,14.000000000000002,24.5,"{'in_block': 7, 'one_day_away': 7, 'two_days_away': 7, 'other': 29}"
22,5,22/05,May,49,7,18.142857142857142,14.000000000000002,24.5,"{'in_block': 7, 'one_day_away': 7, 'two_days_away': 7, 'other': 29}"
27,4,27/04,April,47,6,23.0,12.0,23.5,"{'in_block': 6, 'one_day_away': 8, 'two_days_away': 7, 'other': 29}"
4,5,04/05,May,47,6,23.0,12.0,23.5,"{'in_block': 6, 'one_day_away': 8, 'two_days_away': 7, 'other': 29}"
24,5,24/05,May,44,8,18.375,16.0,22.0,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 0, 'other': 36}"
20,7,20/07,July,44,7,22.714285714285715,14.000000000000002,22.0,"{'in_block': 7, 'one_day_away': 8, 'two_days_away': 0, 'other': 35}"
4,9,04/09,September,44,8,19.375,16.0,22.0,"{'in_block': 8, 'one_day_away': 6, 'two_days_away': 0, 'other': 36}"
6,1,06/01,January,42,7,20.857142857142858,14.000000000000002,21.0,"{'in_block': 7, 'one_day_away': 7, 'two_days_away': 0, 'other': 36}"
6,5,06/05,May,42,7,20.285714285714285,14.000000000000002,21.0,"{'in_block': 7, 'one_day_away': 7, 'two_days_away': 0, 'other': 36}"
4,11,04/11,November,37,9,21.22222222222222,18.0,18.5,"{'in_block': 9, 'one_day_away': 0, 'two_days_away': 1, 'other': 40}"
13,7,13/07,July,34,1,27.0,2.0,17.0,"{'in_block': 1, 'one_day_away': 8, 'two_days_away': 14, 'other': 27}"
21,7,21/07,July,34,8,20.875,16.0,17.0,"{'in_block': 8, 'one_day_away': 1, 'two_days_away': 0, 'other': 41}"
28,8,28/08,August,30,0,0.0,0.0,15.0,"{'in_block': 0, 'one_day_away': 7, 'two_days_away': 16, 'other': 27}"
